id,name,type,district_id
3074,"Xã Đông Quang",Xã,186
3075,"Xã Tiên Phong",Xã,186
3076,"Xã Thụy An",Xã,186
3077,"Xã Cam Thượng",Xã,186
3078,"Xã Thuần Mỹ",Xã,186
3079,"Xã Tản Lĩnh",Xã,186
3080,"Xã Ba Trại",Xã,186
3081,"Xã Minh Quang",Xã,186
3082,"Xã Ba Vì",Xã,186
3083,"Xã Vân Hòa",Xã,186
3084,"Xã Yên Bài",Xã,186
3085,"Xã Khánh Thượng",Xã,186
3086,"Thị trấn Phúc Thọ","Thị trấn",187
3087,"Xã Vân Hà",Xã,187
3088,"Xã Vân Phúc",Xã,187
3089,"Xã Vân Nam",Xã,187
3090,"Xã Xuân Đình",Xã,187
3091,"Xã Sen Phương",Xã,187
3092,"Xã Võng Xuyên",Xã,187
3093,"Xã Thọ Lộc",Xã,187
3094,"Xã Long Xuyên",Xã,187
3095,"Xã Thượng Cốc",Xã,187
3096,"Xã Hát Môn",Xã,187
3097,"Xã Tích Giang",Xã,187
3098,"Xã Thanh Đa",Xã,187
3099,"Xã Trạch Mỹ Lộc",Xã,187
3100,"Xã Phúc Hòa",Xã,187
3101,"Xã Ngọc Tảo",Xã,187
3102,"Xã Phụng Thượng",Xã,187
3103,"Xã Tam Thuấn",Xã,187
3104,"Xã Tam Hiệp",Xã,187
3105,"Xã Hiệp Thuận",Xã,187
3106,"Xã Liên Hiệp",Xã,187
3107,"Thị trấn Phùng","Thị trấn",188
3108,"Xã Trung Châu",Xã,188
3109,"Xã Thọ An",Xã,188
3110,"Xã Thọ Xuân",Xã,188
3111,"Xã Hồng Hà",Xã,188
3112,"Xã Liên Hồng",Xã,188
3113,"Xã Liên Hà",Xã,188
3114,"Xã Hạ Mỗ",Xã,188
3115,"Xã Liên Trung",Xã,188
3116,"Xã Phương Đình",Xã,188
3117,"Xã Thượng Mỗ",Xã,188
3118,"Xã Tân Hội",Xã,188
3119,"Xã Tân Lập",Xã,188
3120,"Xã Đan Phượng",Xã,188
3121,"Xã Đồng Tháp",Xã,188
3122,"Xã Song Phượng",Xã,188
3123,"Thị trấn Trạm Trôi","Thị trấn",189
3124,"Xã Đức Thượng",Xã,189
3125,"Xã Minh Khai",Xã,189
3126,"Xã Dương Liễu",Xã,189
3127,"Xã Di Trạch",Xã,189
3128,"Xã Đức Giang",Xã,189
3129,"Xã Cát Quế",Xã,189
3130,"Xã Kim Chung",Xã,189
3131,"Xã Yên Sở",Xã,189
3132,"Xã Sơn Đồng",Xã,189
3133,"Xã Vân Canh",Xã,189
3134,"Xã Đắc Sở",Xã,189
3135,"Xã Lại Yên",Xã,189
3136,"Xã Tiền Yên",Xã,189
3137,"Xã Song Phương",Xã,189
3138,"Xã An Khánh",Xã,189
3139,"Xã An Thượng",Xã,189
3140,"Xã Vân Côn",Xã,189
3141,"Phường Dương Nội",Phường,184
3142,"Xã La Phù",Xã,189
3143,"Xã Đông La",Xã,189
3144,"Thị trấn Quốc Oai","Thị trấn",190
3145,"Xã Sài Sơn",Xã,190
3146,"Xã Phượng Cách",Xã,190
3147,"Xã Yên Sơn",Xã,190
3148,"Xã Ngọc Liệp",Xã,190
3149,"Xã Ngọc Mỹ",Xã,190
3150,"Xã Liệp Tuyết",Xã,190
3151,"Xã Thạch Thán",Xã,190
3152,"Xã Đồng Quang",Xã,190
3153,"Xã Phú Cát",Xã,190
3154,"Xã Tuyết Nghĩa",Xã,190
3155,"Xã Nghĩa Hương",Xã,190
3156,"Xã Cộng Hòa",Xã,190
3157,"Xã Tân Phú",Xã,190
3158,"Xã Đại Thành",Xã,190
3159,"Xã Phú Mãn",Xã,190
3160,"Xã Cấn Hữu",Xã,190
3161,"Xã Tân Hòa",Xã,190
