id,name,type,province_id
450,"Thành phố Pleiku","Thành phố",41
451,"Thị xã An Khê","Thị xã",41
452,"Thị xã Ayun Pa","Thị xã",41
453,"Huyện KBang",Huyện,41
454,"Huyện Đăk Đoa",Huyện,41
455,"Huyện Chư Păh",Huyện,41
456,"Huyện Ia Grai",Huyện,41
457,"Huyện Mang Yang",Huyện,41
458,"Huyện Kông Chro",Huyện,41
459,"Huyện Đức Cơ",Huyện,41
460,"Huyện Chư Prông",Huyện,41
461,"Huyện Chư Sê",Huyện,41
462,"Huyện Đăk Pơ",Huyện,41
463,"Huyện Ia Pa",Huyện,41
464,"Huyện Krông Pa",Huyện,41
465,"Huyện Phú Thiện",Huyện,41
466,"Huyện Chư Pưh",Huyện,41
467,"Thành phố Buôn Ma Thuột","Thành phố",42
468,"Thị Xã Buôn Hồ","Thị xã",42
469,"Huyện Ea H'leo",Huyện,42
470,"Huyện Ea Súp",Huyện,42
471,"Huyện Buôn Đôn",Huyện,42
472,"Huyện Cư M'gar",Huyện,42
473,"Huyện Krông Búk",Huyện,42
474,"Huyện Krông Năng",Huyện,42
475,"Huyện Ea Kar",Huyện,42
476,"Huyện M'Đrắk",Huyện,42
477,"Huyện Krông Bông",Huyện,42
478,"Huyện Krông Pắc",Huyện,42
479,"Huyện Krông A Na",Huyện,42
480,"Huyện Lắk",Huyện,42
481,"Huyện Cư Kuin",Huyện,42
482,"Thành phố Gia Nghĩa","Thành phố",43
483,"Huyện Đăk Glong",Huyện,43
484,"Huyện Cư Jút",Huyện,43
485,"Huyện Đắk Mil",Huyện,43
486,"Huyện Krông Nô",Huyện,43
487,"Huyện Đắk Song",Huyện,43
488,"Huyện Đắk R'Lấp",Huyện,43
489,"Huyện Tuy Đức",Huyện,43
490,"Thành phố Đà Lạt","Thành phố",44
491,"Thành phố Bảo Lộc","Thành phố",44
492,"Huyện Đam Rông",Huyện,44
493,"Huyện Lạc Dương",Huyện,44
494,"Huyện Lâm Hà",Huyện,44
495,"Huyện Đơn Dương",Huyện,44
496,"Huyện Đức Trọng",Huyện,44
497,"Huyện Di Linh",Huyện,44
498,"Huyện Bảo Lâm",Huyện,44
499,"Huyện Đạ Huoai",Huyện,44
500,"Huyện Đạ Tẻh",Huyện,44
501,"Huyện Cát Tiên",Huyện,44
502,"Thị xã Phước Long","Thị xã",45
503,"Thành phố Đồng Xoài","Thành phố",45
504,"Thị xã Bình Long","Thị xã",45
505,"Huyện Bù Gia Mập",Huyện,45
506,"Huyện Lộc Ninh",Huyện,45
507,"Huyện Bù Đốp",Huyện,45
508,"Huyện Hớn Quản",Huyện,45
509,"Huyện Đồng Phú",Huyện,45
510,"Huyện Bù Đăng",Huyện,45
511,"Huyện Chơn Thành",Huyện,45
512,"Huyện Phú Riềng",Huyện,45
513,"Thành phố Tây Ninh","Thành phố",46
514,"Huyện Tân Biên",Huyện,46
515,"Huyện Tân Châu",Huyện,46
516,"Huyện Dương Minh Châu",Huyện,46
517,"Huyện Châu Thành",Huyện,46
518,"Thị xã Hòa Thành","Thị xã",46
519,"Huyện Gò Dầu",Huyện,46
520,"Huyện Bến Cầu",Huyện,46
521,"Thị xã Trảng Bàng","Thị xã",46
522,"Thành phố Thủ Dầu Một","Thành phố",47
523,"Huyện Bàu Bàng",Huyện,47
524,"Huyện Dầu Tiếng",Huyện,47
525,"Thị xã Bến Cát","Thị xã",47
526,"Huyện Phú Giáo",Huyện,47
527,"Thị xã Tân Uyên","Thị xã",47
528,"Thành phố Dĩ An","Thành phố",47
529,"Thành phố Thuận An","Thành phố",47
530,"Huyện Bắc Tân Uyên",Huyện,47
531,"Thành phố Biên Hòa","Thành phố",48
532,"Thành phố Long Khánh","Thành phố",48
533,"Huyện Tân Phú",Huyện,48
534,"Huyện Vĩnh Cửu",Huyện,48
535,"Huyện Định Quán",Huyện,48
